產品類型,產品名稱,產品型號,碳標籤證書,,,,公司/團體名稱,統一編號/農畜牧登字,生產廠場/服務廠場,,,,,,碳足跡數據,宣告單位,產品生命週期各階段碳足跡比例,,,,,採用產品類別規則(PCR),
,,,證書編號,生效日期,有效期限,狀態,,,名稱(1),地址(1),名稱(2),地址(2),名稱(3),地址(3),,,原料取得,製造/服務,配送銷售,使用,廢棄回收,編號,名稱
商品,美粒果白葡萄蘆薈果粒寶特 450ML,-,2402009003,2024/03/29,2029/03/28,有效,英屬維京群島商太古可口可樂股份有限公司台灣分公司,80033073,宏全國際股份有限公司無菌飲料二廠,臺中市梧棲區大業路6號,,,,,320.00g,1瓶/450ml(非冷藏),71.94%,23.17%,3.04%,0.00%,1.85%,20-051,果汁飲料
商品,美粒果柳橙寶特瓶 450ML,-,2402009001,2024/03/29,2029/03/29,有效,英屬維京群島商太古可口可樂股份有限公司台灣分公司,80033073,宏全國際股份有限公司無菌飲料二廠,臺中市梧棲區大業路6號,,,,,360.00g,1瓶/450ml(非冷藏),76.20%,19.61%,2.55%,0.00%,1.64%,20-051,果汁飲料
商品,美粒果柳橙汁寶特瓶 1.25L,-,2402009002,2024/03/29,2029/03/28,有效,英屬維京群島商太古可口可樂股份有限公司台灣分公司,80033073,宏全國際股份有限公司無菌飲料二廠,臺中市梧棲區大業路6號,,,,,800.00g,1瓶/1.25L(非冷藏),74.78%,21.07%,3.00%,0.00%,1.15%,20-051,果汁飲料
商品,瓶裝水,CASUAL LIFE慢活小農100％純水,2302201001,2023/12/06,2028/12/05,有效,開元生活科技股份有限公司,12885716,盛康實業股份有限公司埔里二廠,南投縣埔里鎮蜈蚣里榮光路63號,,,,,90.00g,CASUAL LIFE 慢活小農100％純水 每瓶230ML(配送銷售及使用階段未使用冷藏),66.41%,14.34%,19.24%,0.00%,0.01%,20-058,瓶裝水
商品,瓶裝水,CASUAL LIFE慢活小農竹炭水,2302201002,2023/12/06,2028/12/05,有效,開元生活科技股份有限公司,12885716,盛康實業股份有限公司埔里二廠,南投縣埔里鎮蜈蚣里榮光路63號,,,,,90.00g,CASUAL LIFE 慢活小農竹炭水 每瓶230ML(配送銷售及使用階段未使用冷藏),66.10%,14.27%,19.62%,0.00%,0.01%,20-058,瓶裝水
商品,泰山TWIST WATER環保包裝水(包裝飲用水),PET瓶裝1460ml(市售版),2502201004,2025/06/25,2027/06/24,有效,泰山企業股份有限公司,59661701,幸福山有限公司,南投縣埔里鎮水頭路37-3號,,,,,151.00g,每瓶1460ml (配送銷售及使用階段未使用冷藏),69.41%,5.75%,4.28%,0.00%,20.56%,20-058,瓶裝水
商品,台塩海洋鹼性離子水 (420毫升),-,2502201002,2025/04/12,2030/04/11,有效,臺鹽實業股份有限公司,89397503,臺鹽實業股份有限公司通霄精鹽廠,苗栗縣通霄鎮內島里122號,,,,,266.00g,每生產一瓶(420毫升) 台塩海洋鹼性離子水(室溫貯存),66.40%,24.53%,7.51%,0.00%,1.56%,20-058,瓶裝水
商品,泰山TWIST WATER環保包裝水(包裝飲用水),PET瓶裝600ml(市售版),2502201003,2025/06/25,2027/06/24,有效,泰山企業股份有限公司,59661701,幸福山有限公司,南投縣埔里鎮水頭路37-3號,,,,,105.00g,每瓶600ml (配送銷售及使用階段未使用冷藏),59.53%,3.65%,10.22%,0.00%,26.60%,20-058,瓶裝水
商品,台塩海洋鹼性離子水 (850毫升),-,2502201001,2025/04/12,2030/04/11,有效,臺鹽實業股份有限公司,89397503,臺鹽實業股份有限公司通霄精鹽廠,苗栗縣通霄鎮內島里122號,,,,,398.00g,每生產一瓶(850毫升) 台塩海洋鹼性離子水(室溫貯存),59.97%,31.86%,6.66%,0.00%,1.51%,20-058,瓶裝水
商品,OPP膠帶,701A904(厚寬長0.039mm*48mm*80M),2403919002,2024/04/03,2029/04/02,有效,地球綜合工業股份有限公司,07147916,地球綜合工業股份有限公司幼獅一廠,桃園市楊梅區幼獅工業區獅二路1號/獅三路4號,,,,,2.00kg,每卷(寬長48mm*80M),94.04%,2.23%,0.10%,0.00%,3.63%,21-027,黏性膠帶第5.0版
