產品類型,產品名稱,產品型號,碳標籤證書,,,,公司/團體名稱,統一編號/農畜牧登字,生產廠場/服務廠場,,,,,,碳足跡數據,宣告單位,產品生命週期各階段碳足跡比例,,,,,採用產品類別規則(PCR),
,,,證書編號,生效日期,有效期限,狀態,,,名稱(1),地址(1),名稱(2),地址(2),名稱(3),地址(3),,,原料取得,製造/服務,配送銷售,使用,廢棄回收,編號,名稱
商品,HOYA 植物G米花(1kg/包),-,2502106007,2025/03/08,2030/03/07,有效,弘陽生技股份有限公司,83754031,弘陽生技股份有限公司四湖廠,雲林縣四湖鄉鹿場村下鹿場98號,,,,,5.00kg,每包1kg(冷凍),46.20%,27.31%,7.43%,18.71%,0.35%,20-056,調理素食製品
商品,HOYA植物肉乾-川味朝天椒風味(50g/包),-,2502106001,2025/03/08,2030/03/07,有效,弘陽生技股份有限公司,83754031,弘陽生技股份有限公司四湖廠,雲林縣四湖鄉鹿場村下鹿場98號,,,,,151.00g,每包50g(常溫),85.76%,10.15%,1.74%,0.00%,2.35%,20-056,調理素食製品
商品,素媽媽-川味朝天椒香烤肉片,AQT-10024-NA,2202106002,2022/01/26,2027/01/25,有效,弘陽食品股份有限公司,89315539,弘陽食品股份有限公司四湖廠/水產生技廠,雲林縣四湖鄉鹿場村下鹿場98號,,,,,340.00g,每包(100g),83.57%,12.88%,1.44%,0.00%,2.11%,20-056,調理素食製品
商品,素媽媽-黑胡椒香烤肉片,AQC-10024-NA,2202106003,2022/01/26,2027/01/25,有效,弘陽食品股份有限公司,89315539,弘陽食品股份有限公司四湖廠/水產生技廠,雲林縣四湖鄉鹿場村下鹿場98號,,,,,340.00g,每包(100g),83.94%,12.71%,1.26%,0.00%,2.09%,20-056,調理素食製品
商品,素媽媽-BBQ香烤肉片,AQB-10024-NA,2202106001,2022/01/26,2027/01/25,有效,弘陽食品股份有限公司,89315539,弘陽食品股份有限公司四湖廠/水產生技廠,雲林縣四湖鄉鹿場村下鹿場98號,,,,,320.00g,每包(100g),83.27%,13.11%,1.47%,0.00%,2.15%,20-056,調理素食製品
商品,鮮蔬包,過貓,2202106005,2022/02/15,2027/02/14,有效,晁陽農產科技股份有限公司,53982065,晁陽農產科技股份有限公司,雲林縣麥寮鄉興華村興華路32號,,,,,2.00kg,每包0.6kg(冷凍),39.24%,38.89%,3.81%,16.95%,1.11%,20-056,調理素食製品
商品,鮮蔬包,紅藜,2202106004,2022/02/15,2027/02/14,有效,晁陽農產科技股份有限公司,53982065,晁陽農產科技股份有限公司,雲林縣麥寮鄉興華村興華路32號,,,,,2.00kg,每包0.6kg(冷凍),38.78%,39.67%,3.76%,16.70%,1.09%,20-056,調理素食製品
商品,鮮蔬包,薑黃,2202106006,2022/02/15,2027/02/14,有效,晁陽農產科技股份有限公司,53982065,晁陽農產科技股份有限公司,雲林縣麥寮鄉興華村興華路32號,,,,,2.00kg,每包0.6kg(冷凍),39.19%,38.95%,3.81%,16.94%,1.11%,20-056,調理素食製品
服務,momo 零售服務,實體商品,2314871002,2023/11/15,2028/11/14,有效,富邦媒體科技股份有限公司,27365925,富邦媒體科技股份有限公司及所屬辦公大樓、物流中心及倉庫，共計47處據點,臺北市內湖區洲子街90~98號1、2、4、5、6、7、8樓,,,,,1.00kg,每件零售服務（實體商品）,16.79%,82.44%,0.00%,0.00%,0.77%,21-020,無實體店面零售服務
服務,momo 零售服務,非實體商品,2314871003,2023/11/15,2028/11/14,有效,富邦媒體科技股份有限公司,27365925,富邦媒體科技股份有限公司及所屬辦公大樓、物流中心及倉庫，共計47處據點,臺北市內湖區洲子街90~98號1、2、4、5、6、7、8樓,,,,,180.00g,每件零售服務（非實體商品）,4.95%,94.66%,0.00%,0.00%,0.39%,21-020,無實體店面零售服務
服務,農產品數位智慧銷售整合服務(實體服務),-,2314871001,2023/07/22,2028/07/21,有效,洰晟數位智慧整合行銷股份有限公司,90617532,洰晟數位智慧整合行銷股份有限公司,高雄市左營區文學路281號,,,,,8.00kg,每件,0.09%,98.67%,0.00%,0.00%,1.24%,21-020,無實體店面零售服務
服務,國家科學及技術委員會南部科學園區管理局臺南園區污水處理廠-廢(污)水處理服務,-,2413700001,2024/08/23,2029/08/22,有效,中欣行股份有限公司,43801678,國家科學及技術委員會南部科學園區管理局臺南園區污水處理廠,臺南市新市區環西路二段10號,國家科學及技術委員會南部科學園區管理局臺南園區污水處理廠二廠,臺南市新市區環西路二段1號,,,500.00g,每一立方公尺廢(污)水處理量,19.05%,51.31%,0.00%,0.00%,29.64%,21-016,廢(污)水處理服務
服務,臺北市政府工務局衛生下水道工程處八里污水處理廠-廢(污)水處理服務,-,2313700002,2023/10/19,2028/10/18,有效,合水先進環境技術股份有限公司,54275455,臺北市政府工務局衛生下水道工程處-八里污水處理廠,新北市八里區博物館路90號,,,,,150.00g,每 1 立方公尺廢(污)水處理量,59.09%,32.47%,0.00%,0.00%,8.44%,21-016,廢(污)水處理服務
服務,內政部國土管理署下水道工程分署中正路污水處理廠-廢(污)水處理服務,-,2313700003,2023/12/20,2028/12/19,有效,中欣行股份有限公司,43801678,內政部國土管理署下水道工程分署中正路污水處理廠,南投縣南投市中正路206-1號,,,,,2.00kg,每1立方公尺廢污水處理量(生活污水之二級處理),17.06%,82.69%,0.00%,0.00%,0.25%,21-016,廢(污)水處理服務
服務,新竹市客雅水資源回收中心-廢(污)水處理服務,-,2513700001,2025/03/13,2030/03/12,有效,惠民實業股份有限公司,97418116,新竹市客雅水資源回收中心,新竹市香山區彩虹路99號,,,,,255.00g,每一立方公尺廢(污)水處理量,1.17%,95.06%,0.00%,0.00%,3.77%,21-016,廢(污)水處理服務
服務,臺北市政府工務局衛生下水道工程處內湖污水處理廠-廢(污)水處理服務,惠民實業股份有限公司代操作,2313700001,2023/02/03,2028/02/02,有效,臺北市政府工務局衛生下水道工程處,97418116,臺北市政府工務局衛生下水道工程處內湖污水處理廠,臺北市內湖區舊宗路二段2號,,,,,280.00g,每 1 立方公尺廢(污)水處理量,6.90%,90.20%,0.00%,0.00%,2.90%,21-016,廢(污)水處理服務
服務,臺北市政府工務局衛生下水道工程處迪化污水處理廠-廢(污)水處理服務,煒盛環科股份有限公司代操作,2213700002,2022/08/27,2027/08/26,有效,臺北市政府工務局衛生下水道工程處,97418116,臺北市政府工務局衛生下水道工程處迪化污水處理廠,臺北市大同區酒泉街235號,,,,,360.00g,每1立方公尺廢(污)水處理量,4.76%,93.98%,0.00%,0.00%,1.26%,21-016,廢(污)水處理服務
服務,科技部南部科學園區管理局高雄園區污水處理廠之廢(污)水處理服務,-,2213700001,2022/01/17,2027/01/16,有效,惠民實業股份有限公司,97418116,科技部南部科學園區管理局高雄園區污水處理廠,高雄市路竹區北嶺一路2號,一號揚水站,高雄市路竹區路竹路科段 81 地號,二號及三號揚水站,高雄市路竹區路竹六路近路科五路口/北嶺三路與北嶺六路口,500.00g, 每1立方公尺廢(污)水處理量(工業廢水),7.66%,91.75%,0.00%,0.00%,0.59%,21-016,廢(污)水處理服務
服務,中部科學園區台中園區污水處理廠-廢(污)水處理服務,—,2013700002,2020/11/19,2025/11/18,有效,山林水環境工程股份有限公司,27329077,中部科學園區台中園區污水處理廠－山林水環境工程股份有限公司,臺中市大雅區科雅路6號及10號,,,,,550.00g,每1立方公尺廢(污)水處理量,16.27%,70.91%,0.00%,0.00%,12.82%,21-016,廢(污)水處理服務
服務,廢污水處理服務,-,2513700002,2025/06/28,2027/06/27,有效,友沛水務股份有限公司,90227112,水湳水資源回收中心,臺中市西屯區甘肅路二段123號,,,,,850.00g,每1立方公尺廢(污)水處理量,1.58%,81.81%,0.00%,0.00%,16.61%,21-016,廢(污)水處理服務
商品,海木耳禮盒(5g*6包),-,2401212001,2024/05/22,2029/05/21,有效,台灣中油股份有限公司綠能科技研究所,36901617,台灣中油股份有限公司天然氣事業部永安液化天然氣廠,高雄市永安區新興路1-20號,益全生化科技股份有限公司,臺南市永康區中正路279巷21弄27-1號,台灣中油股份有限公司煉製事業部高雄煉油廠,高雄市楠梓區左楠路2號,2.00kg,每包海木耳(5公克),5.66%,93.59%,0.25%,0.25%,0.25%,21-014,加工藻類
服務,吉億通運貨櫃貨運服務,-,2514940001,2025/08/25,2027/08/24,有效,吉億通運股份有限公司,84706620,吉億通運股份有限公司,高雄市前鎮區新生路888號,吉億通運股份有限公司,嘉義縣民雄鄉中山路30號,吉億通運股份有限公司,嘉義縣民雄鄉正大路二段1356-1號,110.00g,每噸-每公里(多溫層運輸),2.45%,97.55%,0.00%,0.00%,0.00%,22-009,公路貨運服務
商品,雄獅NO.600油性細字奇異筆 (黃),NO.600 (黃),R2309608003,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,34.77g,每支,52.48%,32.64%,5.72%,0.00%,9.16%,21-029,充填式筆 
商品,雄獅NO.600油性細字奇異筆 (藍),NO.600 (藍),R2309608004,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,35.41g,每支,52.23%,33.64%,5.11%,0.00%,9.02%,21-029,充填式筆
商品,雄獅NO.600油性細字奇異筆 (紅),NO.600 (紅),R2309608005,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,35.49g,每支,51.60%,34.34%,5.10%,0.00%,8.96%,21-029,充填式筆
商品,雄獅NO.600油性細字奇異筆 (橙),NO.600 (橙),R2309608006,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,34.60g,每支,52.67%,32.28%,5.91%,0.00%,9.14%,21-029,充填式筆 
商品,雄獅NO.600油性細字奇異筆 (綠),NO.600 (綠),R2309608007,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,34.66g,每支,52.74%,32.64%,5.48%,0.00%,9.14%,21-029,充填式筆
商品,雄獅NO.600油性細字奇異筆 (水藍),NO.600 (水藍),R2309608008,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,35.31g,每支,52.21%,33.43%,5.28%,0.00%,9.08%,21-029,充填式筆
商品,雄獅NO.600油性細字奇異筆 (黃綠),NO.600 (黃綠),R2309608009,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,34.55g,每支,51.71%,33.57%,5.57%,0.00%,9.15%,21-029,充填式筆
商品,雄獅NO.600油性細字奇異筆 (紫),NO.600 (紫),R2309608010,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,35.27g,每支,52.01%,33.63%,5.55%,0.00%,8.81%,21-029,充填式筆 
商品,雄獅NO.600油性細字奇異筆 (咖啡),NO.600 (咖啡),R2309608011,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,35.39g,每支,52.00%,32.88%,5.82%,0.00%,9.30%,21-029,充填式筆
商品,雄獅NO.600油性細字奇異筆 (粉紅),NO.600 (粉紅),R2309608012,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,34.50g,每支,51.39%,34.25%,5.30%,0.00%,9.06%,21-029,充填式筆
商品,雄獅NO.600油性細字奇異筆 (黑),NO.600 (黑),R2309608002,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,37.24g,支,53.17%,32.16%,5.82%,0.00%,8.85%,21-029,充填式筆 
商品,雄獅NO.200奇異筆(黑),NO.200(黑),2309608001,2023/06/27,2028/06/26,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,80.00g,每支,83.69%,13.03%,0.87%,0.00%,2.41%,21-029,充填式筆
商品,雄獅NO.600油性細字奇異筆 (棕),NO.600 (棕),R2309608001,2023/01/11,2028/01/10,有效,雄獅鉛筆廠股份有限公司,11708100,雄獅鉛筆廠股份有限公司桃園龍潭廠,桃園市龍潭區中原路二段188號,,,,,35.32g,支,53.02%,32.00%,5.83%,0.00%,9.15%,21-029,充填式筆
商品,魚片(真空包裝),台灣鯛背肉 270 g,2400304001,2024/06/05,2029/06/04,有效,全聯實業股份有限公司,16740494,保證責任雲林縣口湖漁類生產合作社,雲林縣口湖鄉崙東村民生路1-70及1-82號,,,,,2.00kg,每盒 270g,82.68%,10.08%,2.96%,3.68%,0.60%,21-025,水產動物加工食品
商品,魚片(真空包裝),鯛魚腹片(中) 300g,2400304002,2024/06/05,2029/06/04,有效,全聯實業股份有限公司,16740494,保證責任雲林縣口湖漁類生產合作社,雲林縣口湖鄉崙東村民生路1-70及1-82號,,,,,3.00kg,每包 300g,84.35%,10.25%,1.96%,3.28%,0.16%,21-025,水產動物加工食品
商品,魚片(真空包裝),鯛魚排(大) 200g,2400304003,2024/06/05,2029/06/04,有效,全聯實業股份有限公司,16740494,保證責任雲林縣口湖漁類生產合作社,雲林縣口湖鄉崙東村民生路1-70及1-82號,,,,,2.00kg,每包 200g,82.64%,10.28%,1.98%,4.92%,0.18%,21-025,水產動物加工食品
商品,熟成台南學甲虱目魚柳,熟成台南學甲虱目魚柳230g,2400304004,2024/06/06,2029/06/05,有效,全聯實業股份有限公司,16740494,鮮饌國際有限公司,臺南市學甲區興業路409號,,,,,2.00kg,每盒(230g),39.20%,32.35%,3.50%,24.52%,0.43%,21-025,水產動物加工食品
商品,熟成虱目魚肚,熟成虱目魚肚 180g,2400304005,2024/06/06,2029/06/05,有效,全聯實業股份有限公司,16740494,鮮饌國際有限公司,臺南市學甲區興業路409號,,,,,2.00kg,每盒(180g),35.57%,33.33%,3.38%,27.25%,0.47%,21-025,水產動物加工食品
商品,生態養殖無刺虱目魚肚,生態養殖無刺虱目魚肚 200g,2400304006,2024/06/06,2029/06/05,有效,全聯實業股份有限公司,16740494,鮮饌國際有限公司,臺南市學甲區興業路409號,,,,,2.00kg,每包(200g),37.74%,31.95%,2.02%,28.15%,0.14%,21-025,水產動物加工食品
商品,福壽柴魚花-鰹魚(10g),-,2500305002,2025/07/26,2027/07/25,有效,福壽實業股份有限公司,56192402,福壽實業股份有限公司柴魚花加工廠,臺中市梧棲區自強路100號,,,,,110.00g,每包（淨重10克，含包裝30.5克),46.30%,48.15%,0.92%,0.00%,4.63%,21-025,水產動物加工食品
商品,福壽柴魚花-鰹魚(5g),-,2500305001,2025/07/26,2027/07/25,有效,福壽實業股份有限公司,56192402,福壽實業股份有限公司柴魚花加工廠,臺中市梧棲區自強路100號,,,,,80.00g,每包（淨重5克，含包裝19.37克),43.21%,51.85%,0.00%,0.00%,4.94%,21-025,水產動物加工食品
商品,福壽柴魚花-鯖魚(600g),-,2500305005,2025/07/26,2027/07/25,有效,福壽實業股份有限公司,56192402,福壽實業股份有限公司柴魚花加工廠,臺中市梧棲區自強路100號,,,,,2.00kg,每包（淨重600克，含包裝816.5克),44.32%,52.69%,0.69%,0.00%,2.30%,21-025,水產動物加工食品
商品,福壽柴魚花-鯖魚(300g),-,2500305004,2025/07/26,2027/07/25,有效,福壽實業股份有限公司,56192402,福壽實業股份有限公司柴魚花加工廠,臺中市梧棲區自強路100號,,,,,970.00g,每包（淨重300克，含包裝465.9克),67.76%,26.59%,1.13%,0.00%,4.52%,21-025,水產動物加工食品
商品,福壽柴魚花-鯖魚(120g),-,2500305003,2025/07/26,2027/07/25,有效,福壽實業股份有限公司,56192402,福壽實業股份有限公司柴魚花加工廠,臺中市梧棲區自強路100號,,,,,600.00g,每包（淨重120克，含包裝197.8克),48.75%,47.59%,0.33%,0.00%,3.33%,21-025,水產動物加工食品
服務,自有不動產銷售服務,-,2316811001,2023/02/23,2028/02/22,有效,合作金庫資產管理股份有限公司,27960635,合作金庫資產管理股份有限公司,臺北市中正區館前路77號3樓,,,,,360.00kg,每一筆成交案件(出售自有不動產),0.47%,98.71%,0.00%,0.00%,0.82%,21-022,不動產經營服務
服務,Hami Video,-,2416312001,2024/06/01,2029/05/31,有效,中華電信股份有限公司,96979933,中華電信股份有限公司電信研究院,桃園市楊梅區電研路99號E棟2樓,中華電信股份有限公司,臺北市中正區杭州南路一段28-1號4樓;杭州南路一段26號6樓;信義路1段21-3號,中華電信股份有限公司,高雄市新興區七賢一路20號3樓;302新竹縣竹北市縣政九路136號2樓,22.00mg,消費者每傳輸1MB之資料量(有線(固定)網路與行動網路、影音),0.92%,99.07%,0.00%,0.00%,0.01%,19-015,線上多媒體服務－ 影音、音樂、電子書
商品,Gaea格雅雞生鮮雞肉,全雞不切,2500207001,2025/04/09,2027/04/08,有效,君達育樂事業股份有限公司,23073454,君達畜牧場,花蓮縣吉安鄉初音段91地號,,,,,10.00kg,每包(淨重 2.095kg),74.96%,16.15%,0.79%,4.27%,3.83%,22-010,家畜禽肉及食用雜碎
商品,陽光豬法式豬排,-,2400203001,2024/06/05,2029/06/04,有效,品冠現代畜產股份有限公司,28044583,品冠現代畜產股份有限公司,臺中市西屯區福雅路555號,,,,,9.00kg,每盒(1.35 kg),79.70%,17.26%,0.00%,2.60%,0.44%,22-010,家畜禽肉及食用雜碎
商品,表面活性劑機械泡沫滅火器,LD-3L,2508424001,2025/07/10,2030/07/09,有效,立大消防設備工程有限公司,28540892,立大消防設備工程有限公司,桃園市大園區南港里長發一路242號,,,,,17.00kg,每瓶(重量4.8kg),36.35%,57.81%,0.74%,4.11%,0.99%,19-012,滅火器
商品,表面活性劑機械泡沫滅火器,LD-6L,2508424002,2025/07/10,2030/07/09,有效,立大消防設備工程有限公司,28540892,立大消防設備工程有限公司,桃園市大園區南港里長發一路242號,,,,,31.00kg,每瓶(重量8.6kg),29.87%,63.73%,0.72%,4.39%,1.29%,19-012,滅火器
商品,極地雪玫瑰精萃,30ml,2303304001,2023/08/26,2028/08/25,有效,自然美生物科技股份有限公司,38434293,自然美生物科技股份有限公司深坑廠,新北市深坑區北深路三段248、252、254號8樓,,,,,750.00g,每瓶極地雪玫瑰精萃 30ml,40.31%,55.06%,0.12%,0.00%,4.51%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,NB-1 活膚精華露,95 ml,2303304002,2023/08/26,2028/08/25,有效,自然美生物科技股份有限公司,38434293,自然美生物科技股份有限公司深坑廠,新北市深坑區北深路三段248、252、254號8樓,,,,,1.00kg,每瓶NB-1 活膚精華露 95ml,49.21%,49.51%,0.32%,0.00%,0.96%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,γ-PGA超導鎖水氣墊面膜,20ml,2303304003,2023/08/26,2028/08/25,有效,自然美生物科技股份有限公司,38434293,自然美生物科技股份有限公司深坑廠,新北市深坑區北深路三段248、252、254號8樓,,,,,110.00g,每片 γ-PGA 超導鎖水氣墊面膜 20ml,44.94%,52.35%,0.15%,0.00%,2.56%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,綠茶洗髮精,400mL,2003305021,2020/12/27,2025/12/26,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,11.00kg,每瓶,3.27%,1.28%,0.38%,94.97%,0.10%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,茶樹洗髮精,400mL,2003305022,2020/12/27,2025/12/26,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,11.00kg,每瓶,3.12%,1.22%,0.37%,95.20%,0.09%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,香檳玫瑰護色洗髮精,400mL,2103305001,2021/05/26,2026/05/25,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,11.00kg,每瓶,3.45%,1.90%,0.41%,94.15%,0.09%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,茶花控油洗髮精,400mL,2103305003,2021/05/26,2026/05/25,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,11.00kg,每瓶,3.46%,2.16%,0.37%,93.92%,0.09%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,零度C洗髮精,400mL,2103305005,2021/05/26,2026/05/25,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,11.00kg,每瓶,3.45%,1.91%,0.30%,94.25%,0.09%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,竹萃保濕洗髮精,400mL,2103305004,2021/05/26,2026/05/25,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,11.00kg,每瓶,3.43%,1.87%,0.43%,94.18%,0.09%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,桃花豐盈洗髮精,400mL,2103305006,2021/05/26,2026/05/25,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,11.00kg,每瓶,3.30%,1.91%,0.41%,94.29%,0.09%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,積雪草植萃乾洗髮,180mL,2103305007,2021/05/26,2026/05/25,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,600.00g,每瓶,59.16%,34.67%,5.17%,0.00%,1.00%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,紫玫瑰護色洗髮精,400mL,2103305002,2021/05/26,2026/05/25,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,11.00kg,每瓶,3.35%,1.79%,0.86%,93.91%,0.09%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,茶籽堂馬栗樹水潤洗手露,330mL,2503401006,2025/06/05,2030/06/04,有效,捷順企業股份有限公司,86602059,創同生技有限公司,新北市汐止區工建路368號8樓,宏昌興塑膠有限公司大園廠,桃園市大園區中正東路二段149巷62弄1號及3號,,,740.00g,每瓶330mL,67.12%,3.80%,2.04%,25.68%,1.36%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,茶籽堂馬栗樹水潤洗手露,500mL,2503401005,2025/06/05,2030/06/04,有效,捷順企業股份有限公司,86602059,創同生技有限公司,新北市汐止區工建路368號8樓,宏昌興塑膠有限公司大園廠,桃園市大園區中正東路二段149巷62弄1號及3號,,,1.00kg,每瓶500mL,65.66%,3.86%,3.12%,26.35%,1.01%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,茶籽堂荷葉清舒沐浴露,330mL,2503401004,2025/06/05,2030/06/04,有效,捷順企業股份有限公司,86602059,創同生技有限公司,新北市汐止區工建路368號8樓,宏昌興塑膠有限公司大園廠,桃園市大園區中正東路二段149巷62弄1號及3號,,,34.00kg,每瓶330mL,1.59%,0.09%,0.04%,98.25%,0.03%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,茶籽堂荷葉清舒沐浴露,500mL,2503401003,2025/06/05,2030/06/04,有效,捷順企業股份有限公司,86602059,創同生技有限公司,新北市汐止區工建路368號8樓,宏昌興塑膠有限公司大園廠,桃園市大園區中正東路二段149巷62弄1號及3號,,,51.00kg,每瓶500mL,1.52%,0.09%,0.06%,98.31%,0.02%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,茶籽堂桑白皮修護洗髮露,330mL,2503305002,2025/06/05,2030/06/04,有效,捷順企業股份有限公司,86602059,台灣法儂化粧品工廠有限公司萬興廠,臺中市大肚區頂街里沙田路三段245巷58之1號,宏昌興塑膠有限公司大園廠,桃園市大園區中正東路二段149巷62弄1號及3號,,,7.00kg,每瓶330mL,8.83%,0.48%,0.52%,90.03%,0.14%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,可可洗髮精(500ml),控油清爽配方,2403305002,2024/04/03,2029/04/02,有效,裕蕢生物科技有限公司,57523106,裕雋生物科技股份有限公司,屏東縣內埔鄉建國路22號,,,,,11.00kg,每瓶(500ml),9.13%,3.37%,0.11%,87.23%,0.16%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,可可洗髮精(500ml),護色滋潤配方,2403305001,2024/04/03,2029/04/02,有效,裕蕢生物科技有限公司,57523106,裕雋生物科技股份有限公司,屏東縣內埔鄉建國路22號,,,,,11.00kg,每瓶(500ml),9.41%,2.53%,0.20%,87.70%,0.16%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,咖啡因養髮液,100ml,2503305004,2025/07/29,2027/07/28,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,680.00g,每瓶,71.06%,19.27%,6.11%,0.00%,3.56%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,強健頭皮洗髮露,500ml,2503305003,2025/07/29,2027/07/28,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,13.00kg,每瓶,10.88%,3.56%,0.88%,84.01%,0.67%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,繡線菊身體乳補充瓶,1000ml補充瓶,2503304001,2025/07/29,2027/07/28,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,900.00g,每瓶,57.86%,26.86%,13.42%,0.00%,1.86%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,辣木淨化洗手慕絲,450ml,2503401007,2025/07/29,2027/07/28,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,1.00kg,每瓶,36.74%,7.61%,3.52%,50.80%,1.33%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,辣木淨化洗手慕絲補充瓶,1000ml補充瓶,2503401008,2025/07/29,2027/07/28,有效,歐萊德國際股份有限公司,12890464,歐萊德國際股份有限公司綠色化粧品廠,桃園市龍潭區中豐路高平段18號,,,,,2.00kg,每瓶,30.70%,9.06%,2.70%,56.67%,0.87%,20-014,液劑化粧品及肌膚毛髮洗潔產品
商品,茶籽堂肖楠葉純淨洗手露,500mL,2503401002,2025/06/05,2030/06/04,有效,捷順企業股份有限公司,86602059,創同生技有限公司,新北市汐止區工建路368號8樓,宏昌興塑膠有限公司大園廠,桃園市大園區中正東路二段149巷62弄1號及3號,,,1.00kg,每瓶500mL,65.71%,3.89%,2.77%,26.52%,1.11%,20-014,液劑化粧品及肌膚毛髮洗潔產品
